"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"51","8.808610","1.12.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"52","8.933609","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"53","9.114634","1.12.1","host","USB","35","00000e0000000000","URB_INTERRUPT in"
"54","9.229625","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"55","9.329610","1.12.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"56","9.415610","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"57","10.938607","1.12.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"58","11.470610","1.12.1","host","USB","35","02001f0000000000","URB_INTERRUPT in"
"59","11.580607","1.12.1","host","USB","35","0200000000000000","URB_INTERRUPT in"
"60","11.830633","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"61","15.224603","1.12.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"62","15.299636","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"63","15.509603","1.12.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"64","15.615602","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"65","15.775604","1.12.1","host","USB","35","0000060000000000","URB_INTERRUPT in"
"66","15.850604","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"67","15.955603","1.12.1","host","USB","35","00000e0000000000","URB_INTERRUPT in"
"68","16.026604","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"69","16.236603","1.12.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"70","16.301604","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"71","16.452603","1.12.1","host","USB","35","00000b0000000000","URB_INTERRUPT in"
"72","16.522603","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"73","16.677602","1.12.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"74","16.757602","1.12.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
